id	name
1256b939-e2d8-4464-9176-69ce28b39351	SUNami Solar Kenya
13bff506-d946-4042-96c9-2fac3361006b	SUNami Solar Zambia
cbb8aa87-b375-4849-9c7e-c704fb2b425b	SUNami Solar Uganda
